No.,Answer
1,Like
2,Very like
3,Like
4,Hate
5,Like
6,Neutral
7,Dislike
8,Dislike
9,Like
10,Like
11,Like
12,Dislike
13,Like
14,Hate
15,Like
16,Neutral
17,Very like
18,Neutral
19,Very like
20,Very like
21,Dislike
22,Very like
23,Very like
24,Dislike
25,Very like
26,Hate
27,Like
28,Like
29,Very like
30,Very like
31,Neutral
32,Dislike
33,Hate
34,Very like
35,Like
36,Neutral
37,Neutral
38,Dislike
39,Neutral
40,Neutral
41,Like
42,Like
43,Like
44,Very like
45,Neutral
46,Like
47,Neutral
48,Neutral
49,Hate
50,Neutral
